congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.34,0.452,-32.05041,0.83772,181,10,,0.459,0.499
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.391,0.403,-8.99499,0.95446,193,5,,-0.575,0.538
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.372,0.68,-27.90088,0.86276,189,7,,0.526,0.85
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.617,-0.454,-47.65055,0.77818,190,21,,0.729,-0.521
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.551,0.329,-27.08333,0.86382,185,9,,0.614,0.411
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.756,-0.052,-26.60077,0.87187,194,11,,0.701,0.168
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.364,0.589,-32.61415,0.84303,191,11,,0.622,0.783
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.281,0.017,-42.26629,0.79175,181,12,,0.405,0.193
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.247,-2.96018,0.98369,180,1,,-0.612,-0.55
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.159,-0.006,-16.77353,0.91676,193,11,,-0.493,0.87
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.645,-0.395,-40.14501,0.8068,187,21,,1.0,-0.03
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.621,-0.317,-42.1155,0.80486,194,25,,0.529,-0.277
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.453,-0.024,-4.11727,0.97889,193,1,,-0.578,0.1
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.904,-0.427,-25.58265,0.87525,192,6,,0.991,-0.136
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.173,0.15,-15.07118,0.92451,192,8,,-0.323,0.549
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.643,-0.061,-23.14059,0.88756,194,11,,0.607,-0.024
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.534,-0.392,-0.96243,0.99505,194,0,,-0.534,-0.392
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.387,0.474,-16.21756,0.91384,180,5,,0.548,0.836
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.35,0.58,-8.66754,0.95631,194,4,,0.418,0.771
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.473,0.211,-11.28967,0.94318,193,2,,0.426,0.428
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.551,0.328,-11.5113,0.94121,190,2,,0.582,0.678
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.08811,0.996,22,0,,-0.461,0.337
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.348,-0.131,-2.30827,0.98817,194,0,,-0.534,-0.392
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.108,-2.49551,0.98715,193,0,,-0.534,-0.392
116,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.448,0.208,-14.07257,0.92861,190,3,,0.467,0.884
116,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.14,-2.09094,0.98832,178,1,,-0.492,-0.114
116,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.189,0.468,-16.45099,0.91789,192,4,,-0.415,0.894
116,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.166,-15.76898,0.91913,187,6,,-0.337,0.293
116,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.26,-0.147,-3.25224,0.98257,185,0,,-0.456,-0.184
116,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.463,0.196,-28.21773,0.86332,192,12,,0.523,0.115
